year,avg_temp,5 year move
1828,7.13,
1829,6.8,
1830,,
1831,,
1832,3.52,3.49
1833,7.48,3.56
1834,7.1,3.62
1835,5.58,4.736
1836,6.74,6.084
1837,6.81,6.742
1838,6.59,6.564
1839,7.3,6.604
1840,6.69,6.826
1841,6.81,6.84
1842,6.88,6.854
1843,6.55,6.846
1844,6.41,6.668
1845,6.88,6.706
1846,,5.344
1847,8.99,5.766
1848,6.6,5.776
1849,6.68,5.83
1850,7.06,5.866
1851,7.79,7.424
1852,7.08,7.042
1853,7.61,7.244
1854,6.99,7.306
1855,7.31,7.356
1856,7.44,7.286
1857,7.91,7.452
1858,6.91,7.312
1859,6.27,7.168
1860,7.63,7.232
1861,7.18,7.18
1862,6.36,6.87
1863,7.44,6.976
1864,7.64,7.25
1865,7.05,7.134
1866,7.39,7.176
1867,7.12,7.328
1868,6.99,7.238
1869,8.33,7.376
1870,7.85,7.536
1871,7.97,7.652
1872,7.34,7.696
1873,7.47,7.792
1874,7.32,7.59
1875,6.9,7.4
1876,7.12,7.23
1877,8.14,7.39
1878,7.89,7.474
1879,6.74,7.358
1880,5.95,7.168
1881,6.86,7.116
1882,6.88,6.864
1883,6.97,6.68
1884,6.81,6.694
1885,8.66,7.236
1886,7.85,7.434
1887,6.77,7.412
1888,7.73,7.564
1889,8.08,7.818
1890,7.03,7.492
1891,7.61,7.444
1892,7.54,7.598
1893,6.16,7.284
1894,6.88,7.044
1895,7.26,7.09
1896,7.2,7.008
1897,7.5,7
1898,7.6,7.288
1899,7.08,7.328
1900,7.95,7.466
1901,7.27,7.48
1902,7.33,7.446
1903,6.98,7.322
1904,7.7,7.446
1905,7.59,7.374
1906,7.99,7.518
1907,7.28,7.508
1908,7.32,7.576
1909,6.52,7.34
1910,7.24,7.27
1911,6.73,7.018
1912,7.43,7.048
1913,6.99,6.982
1914,7.92,7.262
1915,8.13,7.44
1916,6.23,7.34
1917,7.25,7.304
1918,7.85,7.476
1919,6.94,7.28
1920,7.19,7.092
1921,7.2,7.286
1922,6.66,7.168
1923,7.82,7.162
1924,7.46,7.266
1925,8.26,7.48
1926,8.72,7.784
1927,7.3,7.912
1928,7.86,7.92
1929,6.96,7.82
1930,7.23,7.614
1931,8,7.47
1932,7.37,7.484
1933,7.06,7.324
1934,9.04,7.74
1935,7.33,7.76
1936,7.67,7.694
1937,7.39,7.698
1938,8.12,7.91
1939,8.25,7.752
1940,8.81,8.048
1941,8.83,8.28
1942,8.1,8.422
1943,7.51,8.3
1944,7.84,8.218
1945,7.57,7.97
1946,7.39,7.682
1947,8.03,7.668
1948,6.68,7.502
1949,7.05,7.344
1950,6.77,7.184
1951,7.33,7.172
1952,7.56,7.078
1953,8.11,7.364
1954,7.04,7.362
1955,6.09,7.226
1956,7.18,7.196
1957,7.52,7.188
1958,9.28,7.422
1959,7.5,7.514
1960,7.51,7.798
1961,8.12,7.986
1962,7.66,8.014
1963,7.91,7.74
1964,6.83,7.606
1965,7.91,7.686
1966,7.88,7.638
1967,8.38,7.782
1968,7.73,7.746
1969,7.51,7.882
1970,7.55,7.81
1971,7.1,7.654
1972,7.09,7.396
1973,7.58,7.366
1974,7.72,7.408
1975,7.09,7.316
1976,7.46,7.388
1977,7.63,7.496
1978,7.78,7.536
1979,7.88,7.568
1980,7.75,7.7
1981,8.23,7.854
1982,7.35,7.798
1983,7.94,7.83
1984,7.41,7.736
1985,6.71,7.528
1986,8.25,7.532
1987,8.67,7.796
1988,8.1,7.828
1989,7.87,7.92
1990,8.09,8.196
1991,8.2,8.186
1992,9.03,8.258
1993,7.68,8.174
1994,8.35,8.27
1995,8.62,8.376
1996,7.61,8.258
1997,8.41,8.134
1998,8.7,8.338
1999,7.79,8.226
2000,7.72,8.046
2001,7.9,8.104
2002,8.03,8.028
2003,8.74,8.036
2004,9.04,8.286
2005,8.57,8.456
2006,8.49,8.574
2007,8.04,8.576
2008,7.57,8.342
2009,8.02,8.138
2010,8.25,8.074
2011,7.35,7.846
2012,8.08,7.854
2013,9.95,8.33
