Date,Sales,7 Day Move
1/1/09,"7,855",
1/2/09,"12,329",
1/3/09,"11,617",
1/4/09,"7,684",
1/5/09,"8,448",
1/6/09,"8,022",
1/7/09,"8,410",
1/8/09,"7,850",
1/9/09,"12,399",
1/10/09,"11,919",
1/11/09,"7,767",
1/12/09,"8,199",
1/13/09,"8,522",
1/14/09,"8,339",9240
1/15/09,"8,112",9258.357143
1/16/09,"12,486",9269.571429
1/17/09,"12,371",9323.428571
1/18/09,"8,180",9358.857143
1/19/09,"8,081",9332.642857
1/20/09,"7,814",9317.785714
1/21/09,"8,699",9338.428571
1/22/09,"8,115",9357.357143
1/23/09,"12,318",9351.571429
1/24/09,"12,080",9363.071429
1/25/09,"8,439",9411.071429
1/26/09,"8,596",9439.428571
1/27/09,"8,559",9442.071429
1/28/09,"8,286",9438.285714
1/29/09,"8,237",9447.214286
1/30/09,"12,900",9476.785714
1/31/09,"12,640",9496
2/1/09,"8,072",9488.285714
2/2/09,"9,040",9556.785714
2/3/09,"8,926",9636.214286
2/4/09,"8,211",9601.357143
2/5/09,"8,614",9637
2/6/09,"12,752",9668
2/7/09,"12,337",9686.357143
2/8/09,"8,634",9700.285714
2/9/09,"8,164",9669.428571
2/10/09,"8,460",9662.357143
2/11/09,"8,705",9692.285714
2/12/09,"8,803",9732.714286
2/13/09,"12,423",9698.642857
2/14/09,"12,233",9669.571429
2/15/09,"8,519",9701.5
2/16/09,"8,633",9672.428571
2/17/09,"8,968",9675.428571
2/18/09,"8,991",9731.142857
2/19/09,"8,476",9721.285714
2/20/09,"12,387",9695.214286
2/21/09,"13,193",9756.357143
2/22/09,"8,319",9733.857143
2/23/09,"8,896",9786.142857
2/24/09,"9,192",9838.428571
2/25/09,"8,388",9815.785714
2/26/09,"8,668",9806.142857
2/27/09,"12,784",9831.928571
2/28/09,"12,340",9839.571429
3/1/09,"8,612",9846.214286
3/2/09,"8,740",9853.857143
3/3/09,"9,198",9870.285714
3/4/09,"8,833",9859
3/5/09,"8,742",9878
3/6/09,"12,865",9912.142857
3/7/09,"12,433",9857.857143
3/8/09,"9,387",9934.142857
3/9/09,"8,583",9911.785714
3/10/09,"9,156",9909.214286
3/11/09,"8,508",9917.785714
3/12/09,"9,234",9958.214286
3/13/09,"12,819",9960.714286
3/14/09,"13,032",10010.14286
3/15/09,"8,654",10013.14286
3/16/09,"8,731",10012.5
3/17/09,"8,754",9980.785714
3/18/09,"9,082",9998.571429
3/19/09,"8,497",9981.071429
3/20/09,"13,231",10007.21429
3/21/09,"13,307",10069.64286
3/22/09,"8,685",10019.5
3/23/09,"8,979",10047.78571
3/24/09,"8,726",10017.07143
3/25/09,"8,967",10049.85714
3/26/09,"9,198",10047.28571
3/27/09,"12,592",10031.07143
3/28/09,"12,497",9992.857143
3/29/09,"8,554",9985.714286
3/30/09,"8,848",9994.071429
3/31/09,"9,009",10012.28571
